Number,  Location,  Area,  Price,Bedrooms,Bathrooms,Wardrobes,Cabinets,Balcony,Parking,Quarters
1001,Kibagabaga, sqm,120 000 000  Rwf,5.0,4.0,Yes,,,,
1002,Kicukiro,30/20 m,60 000 000  Rwf,4.0,2.0,,,,,Yes
1003,,20/30 m,53 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1004,Gisozi, sqm,100 000 000  Rwf,5.0,4.0,,,Yes,Yes,
1005,Nyarutarama, sqm, 80 000 $,3.0,2.0,,,,,
1006,Kanombe,25/30 m,58 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1007,Nyamata, sqm,35 000 000  Rwf,4.0,3.0,,Yes,,,
1008,Kibagabaga, sqm,200 000 000  Rwf,5.0,4.0,Yes,Yes,Yes,Yes,Yes
1009,Gikondo, sqm,70 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
1010,, sqm,35 000 000  Rwf,4.0,3.0,,,,,Yes
1011,Kicukiro,28/30 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1012,Kicukiro, sqm,65 000 000  Rwf,4.0,2.0,,Yes,,Yes,Yes
1013,Kagarama,25/30 m,58 000 000  Rwf,4.0,3.0,,,,Yes,
1014,Masaka,20/25 m,45 000 000  Rwf,,1.0,,,,Yes,Yes
1015,Gikondo,30/30 m,70 000 000  Rwf,4.0,2.0,,,,,Yes
1016,Remera,20/25 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1017,Kibagabaga,25/20 m,25 000 000  Rwf,4.0,1.0,Yes,Yes,Yes,,Yes
1018,Kagarama, sqm,65 000 000  Rwf,4.0,3.0,,Yes,,,
1019,Kibagabaga, sqm,110 000 000  Rwf,5.0,4.0,Yes,Yes,Yes,Yes,Yes
1020,,500 sqm,85 000 000  Rwf,4.0,3.0,,,Yes,,Yes
1021,Kanombe, sqm,52 000 000  Rwf,4.0,3.0,,Yes,,,
1022,Gasogi,36/28 m,3 000 000  Rwf,,,,,,,
1023,Kicukiro,25/30 m,75 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1024,Kicukiro,25/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1025,Kanombe,25/20 m,40 000 000  Rwf,,1.0,,,,Yes,Yes
1026,Kimironko, sqm,65 000 000  Rwf,4.0,3.0,,Yes,,Yes,
1027,,20/30 m,nan Negotiable,4.0,3.0,Yes,Yes,Yes,Yes,
1028,Kibagabaga,20/30 m,85 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
1029,Kimironko, sqm,55 000 000  Rwf,4.0,3.0,,Yes,,,
1030,Kimironko, sqm,90 000 000  Rwf,5.0,3.0,Yes,Yes,Yes,Yes,Yes
1031,Kicukiro,40/35 m,40 000 000  Rwf,4.0,2.0,,,,Yes,Yes
1032,Kibagabaga, sqm,250 000 000  Rwf,6.0,5.0,,,Yes,Yes,
1033,Zindiro,25/30 m,23 000 000  Rwf,4.0,2.0,,,,Yes,Yes
1034,, sqm,25 000 000  Rwf,4.0,1.0,,,,Yes,Yes
1035,Kibagabaga, sqm,85 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
1036,Gasanze, sqm,16 000 000  Rwf,,,,,,,Yes
1037,Kanombe, sqm,15 000 000  Rwf,3.0,3.0,,Yes,,,
1038,Kimironko,500 sqm,55 000 000  Rwf,3.0,3.0,,,,,
1039,Kimironko, sqm,15 000 000  Rwf,3.0,1.0,,,,,
1040,, sqm,65 000 000  Rwf,5.0,3.0,,,,Yes,Yes
1041,Kimironko,300 sqm,9 000 000  Rwf,,,,,,,
1042,Kimironko,300 sqm,53 000 000  Rwf,3.0,2.0,,,,,Yes
1043,Kicukiro,25/30 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
